"","cd8_lowsalt_1","cd8_highsalt_1","cd8_lowsalt_2","cd8_highsalt_2","cd8_lowsalt_3","cd8_highsalt_3"
"ENSG00000105472",13.691754297486,24.4414609192885,11.7115202745152,51.015225928411,32.3443990997425,45.2078954766805
"ENSG00000105479",54.2028588303738,32.1430960483901,23.2722321993274,57.1925496753696,40.1389353956498,32.3278304822504
"ENSG00000105483",8876.7239611171,6798.11251307261,5770.09639279952,6476.72775211287,8443.77575413789,6225.94169446859
"ENSG00000105486",3916.21818721811,4892.56520989595,4861.82064541284,5233.56173401352,4477.64229867846,5415.23774581608
"ENSG00000105492",0,0,0,0,0,0
"ENSG00000105497",209.504697528086,282.877904003456,411.721247134568,314.491613418593,236.17647091074,362.997596438767
"ENSG00000105499",9.17025002789002,9.95149251504504,21.2710754237366,12.3780794310323,42.7552976282728,18.9044946066811
"ENSG00000105501",0,0,0,0,0,0
"ENSG00000105507",0,0,0,0,0,0
"ENSG00000105509",1.0571824198079,0,0,0,0,0
"ENSG00000105514",248.588006838988,125.179402787271,333.064106920126,188.352980625796,176.619259766255,76.6027285861325
"ENSG00000105516",880.943863849395,486.588330189999,857.442360344114,468.846949947847,832.736491600731,282.006267633714
"ENSG00000105518",484.839975238779,309.406018116703,565.287313007058,307.276963866662,407.105019715173,277.670606537919
"ENSG00000105519",694.433710440218,315.125254299262,425.872982810923,228.763428317214,505.159208400163,266.995865081664
"ENSG00000105520",156.806199936822,49.7915008990308,86.2216269253318,52.6295587479694,121.736035886413,34.0208619086797
"ENSG00000105523",6.22334929997197,23.6366285808991,9.69280134250753,3.74672663282289,4.68033954328213,15.9726205749856
"ENSG00000105538",8.13684382382072,7.24755193151196,79.9110486531374,84.143495340105,10.0826856331503,11.5222815048288
"ENSG00000105549",0,0,0,0,0,0
"ENSG00000105550",0,0,0,0,0,0
"ENSG00000105552",764.833741746136,1005.71033069979,952.149929446156,954.550174791198,811.448231915779,926.009112068029
"ENSG00000105556",400.069406024867,598.180564589433,371.323071350507,571.494500258117,362.746942947852,446.373295888661
"ENSG00000105559",95.4675848668551,77.1557589635864,178.703345941212,101.719185901248,154.418722570789,80.0162338441429
"ENSG00000105568",4783.54798505793,4660.98999775483,5884.0420666442,4897.64335076698,4850.86962415524,5488.77528792313
"ENSG00000105576",3113.51404669928,2905.91522700851,2764.58817497458,3365.79839834508,2875.30179674663,3178.24569757474
"ENSG00000105583",1432.2657584683,1414.40162693871,1097.88284637635,1375.33638480659,1337.8669259579,1434.47794260563
"ENSG00000105605",0,0,0,0,0,0
"ENSG00000105607",915.896135521628,967.057996729821,788.748591852689,657.504731007915,1006.98096639185,1024.44536422312
"ENSG00000105609",6.4076036283695,0,1.25884295172512,1.47725798430808,0,1.31316124356575
"ENSG00000105610",5.26950262190175,10.3413536469237,7.30725572632731,7.65649635965277,6.65925270328256,11.9466016189431
